red_corner,blue_corner,round,event,title_fight,notable_win,winner,method_of_victory,draw,weight_class,video,date
Anderson Silva,Chael Sonnen,5,UFC 117,TRUE,TRUE,Red,Submission,FALSE,185,DpLaqnwFQEY,
Frankie Edgar,Gray Maynard,5,UFC 125,TRUE,FALSE,None,Decision,TRUE,155,xQ78oPjm_gA,
Anderson Silva,Stephan Bonnar,1,UFC 153,FALSE,FALSE,Red,Knockout,FALSE,205,S8w_dtWrcig,
Jon Jones,Alexander Gustafsson,5,UFC 165,TRUE,TRUE,Red,Decision,FALSE,205,en4hR34Bl8w,
Ronda Rousey,Miesha Tate,3,UFC 168,TRUE,TRUE,Red,Submission,FALSE,135,yoUbQxvDVss,
Chris Weidman,Lyoto Machida,5,UFC 175,TRUE,TRUE,Red,Decision,FALSE,185,tQgA4UJt9jA,
Dustin Poirier,Conor McGregor,1,UFC 178,FALSE,TRUE,Blue,Knockout,FALSE,145,9iRvFn8wjJk,
Jose Aldo,Chad Mendes,5,UFC 179,TRUE,TRUE,Red,Decision,FALSE,145,pEDW8_mHfpo,
Chad Mendes,Conor McGregor,2,UFC 189,TRUE,TRUE,Blue,Knockout,FALSE,145,1COn5FgfRPA,
Stipe Miocic,Alistar Overeem,1,UFC 203,TRUE,TRUE,Red,Knockout,FALSE,265,GFmfgIZ6vPI,
Eddie Alvarez,Conor McGregor,2,UFC 205,TRUE,TRUE,Blue,Knockout,FALSE,155,Htf8Jt-elxo,
Tyron Woodley,Stephen Thompson,5,UFC 205,TRUE,FALSE,None,Decision,TRUE,170,8Xb55612vTE,
Khabib Nurmagomedov,Michael Johnson,3,UFC 205,FALSE,FALSE,Red,Submission,FALSE,155,PYtS62GGhmw,
Dominick Cruz,Cody Garbrandt,5,UFC 207,TRUE,TRUE,Blue,Decision,FALSE,135,GyM9gK52MaQ,
Rob Wilkinson,Israel Adesanya,1,UFC 221,TRUE,FALSE,Blue,Knockout,FALSE,185,T_jyPnHyytQ,
Stipe Miocic,Daniel Cormier,1,UFC 226,TRUE,TRUE,Red,Knockout,FALSE,265,4NCHPFS7VzQ,
Tyron Woodley,Darren Till,2,UFC 228,TRUE,TRUE,Red,Submission,FALSE,170,Z73VeGmcb1Q,
