video_title,video_id,video_thumbnail,upload_date,video_description
Eddie Alvarez vs Conor McGregor,Htf8Jt-elxo,https://i.ytimg.com/vi/Htf8Jt-elxo/maxresdefault.jpg,27/06/2020,Conor McGregor becomes the double champ with a huge win at UFC 205 in New York.
Jon Jones vs Alexander Gustafsson,en4hR34Bl8w,https://i.ytimg.com/vi/en4hR34Bl8w/maxresdefault.jpg,27/06/2020,Relive one of the most entertaining bouts in Jon Jones career so far as he took on Alexander Gustafsson for the first time in a razor-close matchup back in 2013 at UFC 165.
Dustin Poirier vs Justin Gaethje,9nS9s5VrHoo,https://i.ytimg.com/vi/9nS9s5VrHoo/maxresdefault.jpg,27/06/2020,"The Diamond finished Gaethje in the fourth, but his opponent wasn't impressed with the decision of Herb Deen. "
Jose Aldo vs Chad Mendes,pEDW8_mHfpo,https://i.ytimg.com/vi/pEDW8_mHfpo/maxresdefault.jpg,27/06/2020,Jose Aldo successfully defended his UFC featherweight title when he faced Chad Mendes for the second time at UFC 179 in an entertaining Fight of the Night contest.
Jorge Masvidal vs Nate Diaz,ozgJZ7wmQc8,https://i.ytimg.com/vi/ozgJZ7wmQc8/maxresdefault.jpg,17/07/2020,"Jorge Masvidal's last fight was against Nate Diaz for the BMF belt at Madison Square Garden, New York."
Tyron Woodley vs Kamaru Usman,lX5YcnFcX-I,https://i.ytimg.com/vi/lX5YcnFcX-I/maxresdefault.jpg,17/07/2020,The changing of the guard. Kamaru Usman may well become one of the most dominant champions in UFC history and it all started with a brilliant performance against Tyron Woodley.
Jose Aldo vs Marlos Moraes,EJ5h4ywYZMQ,https://i.ytimg.com/vi/EJ5h4ywYZMQ/maxresdefault.jpg,17/07/2020,"How did you score this fight between Jose Aldo and Marlon Moraes? The judges scorecards proved to be quite controversial and despite losing, the former featherweight champion got himself a shot at the vacant bantamweight title."
Michael Bisping vs Anderson Silva,swcgEARqmmU,https://i.ytimg.com/vi/swcgEARqmmU/maxresdefault.jpg,19/08/2020,"Michael Bisping, winner of TUF season three, won a razor-close contest with Anderson Silva at the O2 arena in London back in 2016."
Ronda Rousey vs Miesha Tate,yoUbQxvDVss,https://i.ytimg.com/vi/yoUbQxvDVss/maxresdefault.jpg,19/08/2020,Season 17 of The Ultimate Fighter culminated at UFC 168 when Ronda Rousey faced Miesha Tate for the second time for the UFC bantamweight championship.
Dominick Cruz vs Cody Garbrandt,GyM9gK52MaQ,https://i.ytimg.com/vi/GyM9gK52MaQ/maxresdefault.jpg,19/08/2020,"Ahead of his return at #UFC250, take a look back at Cody Garbrandt's masterclass against Dominick Cruz at UFC 207."
